feature,importance
home_shots_on_target,60.30591583251953
away_shots_on_target,54.63388442993164
away_shots,23.05568504333496
implied_away_prob,18.563495635986328
shot_accuracy_home,18.322954177856445
shot_accuracy_away,18.3041934967041
home_corners,16.223560333251953
odds_home_win,15.746793746948242
odds_away_win,15.596229553222656
implied_home_prob,13.623149871826172
away_possession,12.816964149475098
implied_draw_prob,11.64686107635498
home_possession,11.408655166625977
away_corners,8.75082015991211
odds_draw,7.868366718292236
home_shots,7.470957279205322
away_xg,6.183846473693848
home_xg,6.103334903717041
home_win_rate_ratio,4.160948276519775
away_fouls,4.112225532531738
home_win_rate,3.9648396968841553
away_win_rate,3.6400794982910156
home_fouls,3.554227352142334
home_total_matches,3.5400218963623047
away_total_matches,3.472598075866699
home_form_points,3.4176974296569824
away_momentum,3.3734335899353027
home_momentum,3.37253737449646
away_form_points,3.029597282409668
competition_id,2.973637580871582
season,2.4538352489471436
